# ascii dump of database

# Aliases/Comments
AliasId	AliasName	CommentName
OA-SOS-D1.A4.state.bit.b7	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " LANG:10027 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " 
OA-SOS-D1.A5.state.bit.b0	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-grijac\" LANG:10027 \"Status-grijac\" " LANG:10027 "lt:2 LANG:10024 \"Status-grijac\" LANG:10027 \"Status-grijac\" " 
OA-SOS-D1.A5.state.bit.b1	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-servisna monofazna prikljucnica\" LANG:10027 \"Status-servisna monofazna prikljucnica\" " LANG:10027 "lt:2 LANG:10024 \"Status-servisna monofazna prikljucnica\" LANG:10027 \"Status-servisna monofazna prikljucnica\" " 
OA-SOS-D1.A5.state.bit.b2	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-komandni napon 230VAC OA-SOS.D1\" LANG:10027 \"Status-komandni napon 230VAC OA-SOS.D1\" " LANG:10027 "lt:2 LANG:10024 \"Status-komandni napon 230VAC OA-SOS.D1\" LANG:10027 \"Status-komandni napon 230VAC OA-SOS.D1\" " 
OA-SOS-D1.A5.state.bit.b3	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-ethernet switch upravljanje\" LANG:10027 \"Status-ethernet switch upravljanje\" " LANG:10027 "lt:2 LANG:10024 \"Status-ethernet switch upravljanje\" LANG:10027 \"Status-ethernet switch upravljanje\" " 
OA-SOS-D1.A5.state.bit.b4	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-ethernet switch video\" LANG:10027 \"Status-ethernet switch video\" " LANG:10027 "lt:2 LANG:10024 \"Status-ethernet switch video\" LANG:10027 \"Status-ethernet switch video\" " 
OA-SOS-D1.A5.state.bit.b5	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-napajanje SOS1.D1\" LANG:10027 \"Status-napajanje SOS1.D1\" " LANG:10027 "lt:2 LANG:10024 \"Status-napajanje SOS1.D1\" LANG:10027 \"Status-napajanje SOS1.D1\" " 
OA-SOS-D1.A5.state.bit.b6	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-H1.D1\" LANG:10027 \"Status-H1.D1\" " LANG:10027 "lt:2 LANG:10024 \"Status-H1.D1\" LANG:10027 \"Status-H1.D1\" " 
OA-SOS-D1.A5.state.bit.b7	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " LANG:10027 "lt:2 LANG:10024 \"Rezerva\" LANG:10027 \"Rezerva\" " 
OA-SOS-D1.A6.state.bit.b0	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-SOS telefon TS-D2\" LANG:10027 \"Status-SOS telefon TS-D2\" " LANG:10027 "lt:2 LANG:10024 \"Status-SOS telefon TS-D2\" LANG:10027 \"Status-SOS telefon TS-D2\" " 
OA-SOS-D1.A6.state.bit.b1	""	lt:2 LANG:10024 "lt:2 LANG:10024 \"Status-kamera K-D2\" LANG:10027 \"Status-kamera K-D2\" " LANG:10027 "lt:2 LANG:10024 \"Status-kamera K-D2\" LANG:10027 \"Status-kamera K-D2\" " 
